unassigned_transcript_2684	MAS2
gene=THR1	THR1
unassigned_transcript_2685	THR1
gene=VMA16	VMA16
unassigned_transcript_2686	VMA16
gene=RPN1	RPN1
unassigned_transcript_2687	RPN1
gene=DAP2	DAP2
unassigned_transcript_2688	DAP2
gene=YHI9	YHI9
unassigned_transcript_2689	YHI9
gene=SLT2	SLT2
unassigned_transcript_2690	SLT2
gene=RRM3	RRM3
unassigned_transcript_2691	RRM3
gene=ERC1	ERC1
unassigned_transcript_2692	ERC1
gene=YHR033W	YHR033W
unassigned_transcript_2693	YHR033W
gene=PIH1	PIH1
unassigned_transcript_2694	PIH1
gene=NEL1	NEL1
unassigned_transcript_2695	NEL1
gene=BRL1	BRL1
unassigned_transcript_2696	BRL1
gene=PUT2	PUT2
unassigned_transcript_2697	PUT2
gene=RRF1	RRF1
unassigned_transcript_2698	RRF1
gene=MSC7	MSC7
unassigned_transcript_2699	MSC7
gene=VMA10	VMA10
unassigned_transcript_2700	VMA10
gene=BCD1	BCD1
unassigned_transcript_2701	BCD1
gene=SRB2	SRB2
unassigned_transcript_2702	SRB2
gene=NCP1	NCP1
unassigned_transcript_2703	NCP1
gene=DOG2	DOG2
unassigned_transcript_2704	DOG2
gene=DOG1	DOG1
unassigned_transcript_2705	DOG1
gene=DDE1	DDE1
unassigned_transcript_2706	DDE1
gene=INM1	INM1
unassigned_transcript_2707	INM1
gene=AAP1	AAP1
unassigned_transcript_2708	AAP1
gene=YHK8	YHK8
unassigned_transcript_2709	YHK8
gene=FSH1	FSH1
unassigned_transcript_2710	FSH1
gene=SMF2	SMF2
unassigned_transcript_2711	SMF2
gene=YHR050W-A	YHR050W-A
unassigned_transcript_2712	YHR050W-A
gene=COX6	COX6
unassigned_transcript_2713	COX6
gene=CIC1	CIC1
unassigned_transcript_2714	CIC1
gene=RUF5-1	RUF5-1
unassigned_transcript_2715	RUF5-1
unassigned_transcript_2716	YHR052C-B
gene=YHR052C-B	YHR052C-B
unassigned_transcript_2717	CUP1-1
gene=YHR054C	YHR054C
unassigned_transcript_2718	YHR054C
gene=RUF5-2	RUF5-2
unassigned_transcript_2719	RUF5-2
unassigned_transcript_2720	YHR054C-B
gene=YHR054C-B	YHR054C-B
unassigned_transcript_2721	CUP1-2
gene=RSC30	RSC30
unassigned_transcript_2722	RSC30
gene=CPR2	CPR2
unassigned_transcript_2723	CPR2
gene=MED6	MED6
unassigned_transcript_2724	MED6
gene=FYV4	FYV4
unassigned_transcript_2725	FYV4
gene=VMA22	VMA22
unassigned_transcript_2726	VMA22
gene=GIC1	GIC1
unassigned_transcript_2727	GIC1
